year,month,day,time,saying
2022,4,27,17,有这样的老妈我真的是，哎呀，开心^_^
2022,4,9,8,开放共存与动态清零
2022,3,26,11,给大家看我今天中午吃的烤肉饭
2022,3,11,18,真的进大厂了(我没盗图，我只是偷了很多手机)
2022,2,20,22,开心事三则
2022,2,20,18,不愿多说一句 打破这美好                                        来自 OPPO Reno6                                                                         上传3张照片/视频到《风景＆美食》
2022,2,18,21,今天参加了核酸检测的志愿者，在武汉这又寒又冷的风中站了四个小时 ，感受到医务工作者的不易 ，真是一项体力活呀 。手已经冻的非常红 ，当水流滑过手的时候，我已经感觉不出来那是非常冰 还是非常烫。不过中途也发生了很多小确幸。中途狼吞虎咽地吃了一大碗工作餐。也看到很多可爱的同学，问可爱的问 展开全文
2022,2,14,12,早晚秀恩爱会甜死 所以要中午喔 情人节快乐@付以清
2022,2,12,21,什么风把你吹来的 ~ @你再说一遍
2022,2,10,18,读至文末，给人会心一击
2022,2,8,20,今天又是被小朋友完虐的一天，果然王者和乒乓球都要小学生来带飞
2022,2,4,11,来自 OPPO Reno6                                                                         上传4张照片/视频到《风景＆美食》
2022,1,30,16,今天经历了摘草莓活动
2022,1,23,20,天天象棋25%胜率常败丫丫汐大战无名草民李明珠@正在努力的呜哩喵  我又帅死了，尽管她已经让我悔棋n+2次～
2022,1,16,9,湖心亭看鸭                                        来自 OPPO Reno6                                                                         上传3张照片/视频到《风景＆美食》
2022,1,4,13,蓝天白云阿
2021,12,28,22,。
2021,12,27,10,"分享今天开心事★我一本正经地给室友讲cscxdx的积分推导过程，ln| tan x÷2 |+ C 她指着我旁边写的""草稿""笑:你是饿了嘛"
2021,12,21,18,室友生日之 我拍的单方面vlog 求夸夸@吃橘子吗
2021,12,17,6,你是天真 是庄严你是夜夜的月圆 @付以清
2021,12,11,18,"学完反常积分后冥冥之中竟觉得他和拼多多产生了灵魂上的共鸣每当我还差0.1元砍一刀就能领钱的时候 它还可以再细分成50个元宝，还差1个元宝的时候还可以拆分成0.5个元宝…""一尺之棰，日取其半，万世不竭""——《庄子·杂篇·天下》 古人诚不欺我也!"
2021,12,9,11,我说hi  #体育课暖阳里和朋友一起草坪上的治愈时刻#
2021,12,6,12,今天教大家一个单词，crispy
2021,12,4,7,catching
2021,12,3,17,p1-3 生姜的伪装p4-6 此乃仙都乎?
2021,12,3,9,多选题的保险起见…
2021,12,2,14,n倍体草莓 太让人惊讶了⊙∀⊙ ！i
2021,12,2,12,我说昨天晚上11：20多那小笨蛋怎么还在赶作业 听她敲键盘啪啪啪的 原来是记错了时间 ( 名字帮你打马赛卡了)
2021,11,21,10,这是攀枝花炳草岗酷雅琴行我以前的吉他老师自创的歌，重要的是，超级好听，老师颜值很高，and攀枝花也超美。
2021,11,17,17,今天校园广播站放的是 《贝加尔湖畔》那种舒适的感觉可以扫清所有疲惫诶
2021,11,14,8,运动少女的体考结束了
2021,11,13,20,冉宝好棒呀！
