year,month,day,week_day,time,saying,like
2022,4,28,3,15,本周六，图书馆前广场不见不散呀！/1936588711/614811399/804426945/839714296/861283137/1324570630/1963569247/2503952262/2653583260/2824454510/3222709157/3371978249/3381938592/259464161/343314063/438910703/473891196/524261601/754562593/810195869,"['/1936588711', '/614811399', '/804426945', '/839714296', '/861283137', '/1324570630', '/1963569247', '/2503952262', '/2653583260', '/2824454510', '/3222709157', '/3371978249', '/3381938592', '/259464161', '/343314063', '/438910703', '/473891196', '/524261601', '/754562593', '/810195869']"
2022,4,25,0,16,湖北中医药大学学助会 ：下午好，主页君时间#小记者采访活动#四月的春风情深意暖，五月的花海即将流溢校园，和着春潮，伴花海灿烂夺目的季节里，我们迎来了“五四”青年节。“未来属于青年，希望寄予青年”，青年时代是一个人一生中最美好的时光。为了更好的了解当代青年的想法，引导同学们健康学习生活，学助会晨练部将于20 展开全文                  来自 Redmi K40                                         /1936588711/804426945/839714296/1324570630/2236488096/2503952262/2653583260/3222709157/3371978249/3381938592/343314063/912558042/1727481608/2781624561/3077229176,"['/1936588711', '/804426945', '/839714296', '/1324570630', '/2236488096', '/2503952262', '/2653583260', '/3222709157', '/3371978249', '/3381938592', '/343314063', '/912558042', '/1727481608', '/2781624561', '/3077229176']"
2022,4,25,0,10,武汉市第四中学校园VR全景       “博学”源自《论语•雍也》：“君博学于文，约之以礼。1899年，英国基督教伦敦会牧师杨格非创办博学书...            /1936588711/804426945/839714296/1390308283/1529735374/1928268705/1977935439/2653583260/3100400357/3114620565/3222709157/3371978249,"['/1936588711', '/804426945', '/839714296', '/1390308283', '/1529735374', '/1928268705', '/1977935439', '/2653583260', '/3100400357', '/3114620565', '/3222709157', '/3371978249']"
2022,4,23,5,15,湖北中医药大学学助会 ：下午好，主页君时间#湖北中医药大学人世间#分享欲是最高的浪漫主义“分享给谁呢，一天的日常，委屈的情绪，好笑的视频，鸡毛蒜皮的小事，我心里想了一万遍却没说出来的话。” 展开全文  内含视频和图片 查看详情                来自 Redmi K40                                         /1936588711/839714296/1928268705/1963569247/2653583260/3222709157/3381938592/343314063/2781624561,"['/1936588711', '/839714296', '/1928268705', '/1963569247', '/2653583260', '/3222709157', '/3381938592', '/343314063', '/2781624561']"
2022,4,17,6,12,湖中医学助会项目管理部 ：#“培劳动之果，圆民族之梦”活动#建国以来，无数各行各业劳动者艰辛的付出，才有了今天祖国经济的繁荣富强。在我们劳动人民自己的节日到来之际，让我们赞美劳动的同时，来赞美创造我们这个美丽世界的劳动人。为此学助会项目管理部举办了“培劳动之果，圆民族之梦”的主题活动。时间：2022年4月25日 展开全文                  来自 Redmi K40                                         /1936588711/754063701/839714296/1135486870/1434705253/2503952262/2653583260/3100400357/3222709157,"['/1936588711', '/754063701', '/839714296', '/1135486870', '/1434705253', '/2503952262', '/2653583260', '/3100400357', '/3222709157']"
2022,4,13,2,7,今日份公益宣传，入群帮助小朋友们（有志愿时数哦）/1936588711/839714296/1324570630/2503952262/2653583260/3100400357/3222709157/3381938592/89314554/259464161/343314063/473891196/754562593/984861631/1002163288/1140230558/1289396690/1395811139/1411517192/1415248110,"['/1936588711', '/839714296', '/1324570630', '/2503952262', '/2653583260', '/3100400357', '/3222709157', '/3381938592', '/89314554', '/259464161', '/343314063', '/473891196', '/754562593', '/984861631', '/1002163288', '/1140230558', '/1289396690', '/1395811139', '/1411517192', '/1415248110']"
2022,4,5,1,23,今天想要想云朵一样自由高兴时花开想寄一个春天给你春日限定的摄影师/1936588711/6282499/614811399/754063701/839714296/861283137/1195604719/1324570630/1434705253/1471201704/1489693238/1751656832/1963569247/1977935439/2503952262/2653583260/2778991186/2824454510/3100400357/3222709157/3349525936/3381938592,"['/1936588711', '/6282499', '/614811399', '/754063701', '/839714296', '/861283137', '/1195604719', '/1324570630', '/1434705253', '/1471201704', '/1489693238', '/1751656832', '/1963569247', '/1977935439', '/2503952262', '/2653583260', '/2778991186', '/2824454510', '/3100400357', '/3222709157', '/3349525936', '/3381938592']"
2022,3,6,6,9,湖中医中医临床学院 ： 朗朗春日莺歌燕舞，袅袅茶香春日可品 正当“微风不燥，花开正好”之时令，一齐来品鉴茶香，畅游一番春日宴如何，来品悟茶道智慧、体验茶香氤氲转发说说参与“养生奶茶”DIY活动哦～活动主题：“氤氲茶香起，袅袅熏人醉”—制茶手作活动 展开全文                  来自 Redmi K40                                         /1936588711/614811399/804426945/839714296/1434705253/1963569247/2503952262/2653583260/3100400357/3222709157,"['/1936588711', '/614811399', '/804426945', '/839714296', '/1434705253', '/1963569247', '/2503952262', '/2653583260', '/3100400357', '/3222709157']"
2022,2,1,1,19,湖北中医药大学学生会 ：#美丽湖中医，青春我行动#春日到，万象新！绿植领养玩法又上新！跟随小医的步伐，带你领略绿植的魅力～点开这份活动攻略，探索你眼中的美好春天 展开全文                  来自 Redmi K40                                         /804426945/839714296/1324570630/1434705253/2653583260/2676126765/3100400357/3222709157/2781624561,"['/804426945', '/839714296', '/1324570630', '/1434705253', '/2653583260', '/2676126765', '/3100400357', '/3222709157', '/2781624561']"
2021,11,11,3,10,傲雪凌霜独自开，天性不为风雪寒人一生中会经历很多磨难，但仍要努力绽放！梅花香自苦寒来。​/1936588711/6282499/861283137/865616979/1195604719/1434705253/1508118530/1928268705/2236488096/2503952262/2653583260/2664015850/2676126765/2778991186/2910501383/2958608653/3100400357/3222709157/89314554/259464161,"['/1936588711', '/6282499', '/861283137', '/865616979', '/1195604719', '/1434705253', '/1508118530', '/1928268705', '/2236488096', '/2503952262', '/2653583260', '/2664015850', '/2676126765', '/2778991186', '/2910501383', '/2958608653', '/3100400357', '/3222709157', '/89314554', '/259464161']"
2021,10,31,6,1,谢谢我的宝儿！爱你愿姐妹心想事成，虎虎生威！愿今后每一年里都有你的身影@时间煮雨  /1936588711/6282499/614811399/839714296/1508118530/1761248450/2653583260/2676126765/2958608653/3222709157/3303534626/171221242/259464161/343314063/485119095/524261601/975538559/1041375816/1044574190/1140230558,"['/1936588711', '/6282499', '/614811399', '/839714296', '/1508118530', '/1761248450', '/2653583260', '/2676126765', '/2958608653', '/3222709157', '/3303534626', '/171221242', '/259464161', '/343314063', '/485119095', '/524261601', '/975538559', '/1041375816', '/1044574190', '/1140230558']"
2020,3,15,6,10,冲冲冲！/1936588711/770500719/1434705253/1928268705/2503952262/2653583260/3100400357/3222709157/343314063/2429493392,"['/1936588711', '/770500719', '/1434705253', '/1928268705', '/2503952262', '/2653583260', '/3100400357', '/3222709157', '/343314063', '/2429493392']"
2019,2,7,3,11,湖北中医药大学学助会 ：上午好，主页君时间#湖北中医药大学民族文化节#来了！来了！2021年度的民族文化节，抓住秋天的尾巴即将来袭！体味中华各民族风情，无需踏遍山河，只要在湖北中医药大学，不用出校园便可尽览。 展开全文                  来自 Redmi K40                                         /6282499/770500719/839714296/1928268705/1963569247/2236488096/2653583260/3100400357/3222709157,"['/6282499', '/770500719', '/839714296', '/1928268705', '/1963569247', '/2236488096', '/2653583260', '/3100400357', '/3222709157']"
2019,2,7,3,23,愿你心宽似大海，能容得下过去，装的进未来/1936588711/763277047/839714296/972271875/1195604719/1434705253/1963569247/1977935439/2503952262/2653583260/2910501383/3100400357/3371978249/3596573732/1005296387/1124347358/1299237482/1444015232/1463282630/1723467284,"['/1936588711', '/763277047', '/839714296', '/972271875', '/1195604719', '/1434705253', '/1963569247', '/1977935439', '/2503952262', '/2653583260', '/2910501383', '/3100400357', '/3371978249', '/3596573732', '/1005296387', '/1124347358', '/1299237482', '/1444015232', '/1463282630', '/1723467284']"
