year,month,day,time,saying
2022,4,27,0,"To achieve something in life,you will need to identify important life goals and create a plan of action.Goal achievement involves clarity of purpose,continued determination,and a reward system that keeps you on your intended path.Most importantly ,it requires a goal that keeps y 展开全文"
2022,4,26,10,给喜欢的人听 (Live) - 蓝心羽       来自QQ音乐个性电台
2022,4,26,11,"吐槽一下，自己刚刚考完物理不应该错的选择题，错了弹簧的那个，啊啊啊，没看到，一整道题都错了。好阴人呜呜呜条件是B 物体质量是A 物体的两倍，呜呜呜谁会在学动量守恒的时候 写 m v =2m v 1,淦明明是mv =(m +2m )v 1"
