year,month,day,week_day,time,saying,like
2022,3,23,2,13,是谁新的一年又被帅到了，噢，是我/2024693599/2562140457/2910501383/3100400357/3284003238/7493766/935748228/943848398/963885970/1044934917/1059600745/1124347358/1311338616/1329582194/1430651036/1486972659/1791578047/2031494259/2054209611/2292111861,"['/2024693599', '/2562140457', '/2910501383', '/3100400357', '/3284003238', '/7493766', '/935748228', '/943848398', '/963885970', '/1044934917', '/1059600745', '/1124347358', '/1311338616', '/1329582194', '/1430651036', '/1486972659', '/1791578047', '/2031494259', '/2054209611', '/2292111861']"
2022,2,1,1,0,新年快乐！！/1936588711/274255488/754063701/1195604719/1302641259/1434705253/1641391833/1751656832/1761248450/2024693599/2503952262/2979167239/3303534626/215196256/741914396/775423994/921832472/939327491/963885970/969164020,"['/1936588711', '/274255488', '/754063701', '/1195604719', '/1302641259', '/1434705253', '/1641391833', '/1751656832', '/1761248450', '/2024693599', '/2503952262', '/2979167239', '/3303534626', '/215196256', '/741914396', '/775423994', '/921832472', '/939327491', '/963885970', '/969164020']"
2022,1,21,4,21,如果学习能像玩剧本杀一样，我也可以连学三个下午/1936588711/274255488/763277047/1434705253/2024693599/2771588513/2910501383/2979167239/3100400357/215196256/939327491/963885970/1044934917/1059600745/1124347358/1148453749/1311338616/1363479856/1548158523/1791578047,"['/1936588711', '/274255488', '/763277047', '/1434705253', '/2024693599', '/2771588513', '/2910501383', '/2979167239', '/3100400357', '/215196256', '/939327491', '/963885970', '/1044934917', '/1059600745', '/1124347358', '/1148453749', '/1311338616', '/1363479856', '/1548158523', '/1791578047']"
2022,1,1,5,21,2022，光吃不胖/1936588711/274255488/763277047/1195604719/1434705253/1751656832/2024693599/2771588513/2910501383/2979167239/3100400357/3117456526/99293976/215196256/407302941/943848398/963885970/969164020/1044934917/1059600745,"['/1936588711', '/274255488', '/763277047', '/1195604719', '/1434705253', '/1751656832', '/2024693599', '/2771588513', '/2910501383', '/2979167239', '/3100400357', '/3117456526', '/99293976', '/215196256', '/407302941', '/943848398', '/963885970', '/969164020', '/1044934917', '/1059600745']"
2021,11,27,5,19,要是有杯奶茶会更好/1936588711/274255488/614811399/763277047/1195604719/1434705253/1751656832/2024693599/2503952262/3100400357/3187056027/99293976/741914396/963885970/1059600745/1208910429/1311338616/1329582194/1430651036/1486972659,"['/1936588711', '/274255488', '/614811399', '/763277047', '/1195604719', '/1434705253', '/1751656832', '/2024693599', '/2503952262', '/3100400357', '/3187056027', '/99293976', '/741914396', '/963885970', '/1059600745', '/1208910429', '/1311338616', '/1329582194', '/1430651036', '/1486972659']"
2021,11,19,4,22,每周团建/1936588711/274255488/614811399/763277047/804426945/1195604719/1434705253/1761248450/2024693599/2503952262/2771588513/3100400357/3187056027/99293976/943848398/969164020/1059600745/1311338616/1329582194/1605238247,"['/1936588711', '/274255488', '/614811399', '/763277047', '/804426945', '/1195604719', '/1434705253', '/1761248450', '/2024693599', '/2503952262', '/2771588513', '/3100400357', '/3187056027', '/99293976', '/943848398', '/969164020', '/1059600745', '/1311338616', '/1329582194', '/1605238247']"
2021,11,6,5,18,在室友的电脑上做僵尸做的很快乐/1936588711/274255488/614811399/1195604719/1434705253/2503952262/2771588513/2910501383/3100400357/3187056027/99293976/507508345/943848398/963885970/1044934917/1351393952/1397647274/1509938344/1548158523/1791578047,"['/1936588711', '/274255488', '/614811399', '/1195604719', '/1434705253', '/2503952262', '/2771588513', '/2910501383', '/3100400357', '/3187056027', '/99293976', '/507508345', '/943848398', '/963885970', '/1044934917', '/1351393952', '/1397647274', '/1509938344', '/1548158523', '/1791578047']"
2021,9,21,1,21,来自 HUAWEI Mate 40 Pro                                         /274255488/804426945/861283137/1195604719/1302641259/1434705253/2503952262/2771588513/2910501383/3100400357/3187056027/99293976/939327491/963885970/1044934917/1059600745/1249581481/1329582194/1559491649/1605238247,"['/274255488', '/804426945', '/861283137', '/1195604719', '/1302641259', '/1434705253', '/2503952262', '/2771588513', '/2910501383', '/3100400357', '/3187056027', '/99293976', '/939327491', '/963885970', '/1044934917', '/1059600745', '/1249581481', '/1329582194', '/1559491649', '/1605238247']"
2021,9,9,3,20,13                            来自 HUAWEI Mate 40 Pro                                                                         上传21张照片/视频到《武汉》                                /1936588711/274255488/1127313355/1195604719/1302641259/1751656832/2024693599/2910501383/7493766/215196256/943848398/947885009/963885970/1059600745/1124347358/1148453749/1208910429/1249581481/1329582194/1397647274,"['/1936588711', '/274255488', '/1127313355', '/1195604719', '/1302641259', '/1751656832', '/2024693599', '/2910501383', '/7493766', '/215196256', '/943848398', '/947885009', '/963885970', '/1059600745', '/1124347358', '/1148453749', '/1208910429', '/1249581481', '/1329582194', '/1397647274']"
2021,9,5,6,20,啧啧啧凑齐了/1936588711/274255488/763277047/804426945/1195604719/1434705253/1641391833/2024693599/2503952262/3100400357/521193421/939327491/943848398/947885009/963885970/1044934917/1124347358/1148453749/1329582194/1791578047,"['/1936588711', '/274255488', '/763277047', '/804426945', '/1195604719', '/1434705253', '/1641391833', '/2024693599', '/2503952262', '/3100400357', '/521193421', '/939327491', '/943848398', '/947885009', '/963885970', '/1044934917', '/1124347358', '/1148453749', '/1329582194', '/1791578047']"
