year,month,day,week_day,time,saying,like
2021,12,31,4,22,上完宪法课后回寝室跨年祝219寝室130天生日快乐呀。表白我的三位可han爱pi的室友2022年也会好好当你们的爸爸的/1936588711/786904676/1135486870/1262517750/1324570630/1621784279/1638081771/1752339637/1941324883/2745158810/2824454510/3100400357/3490961433/52123371/239283371/248632201/401732850/403101636/492358329/573634326,"['/1936588711', '/786904676', '/1135486870', '/1262517750', '/1324570630', '/1621784279', '/1638081771', '/1752339637', '/1941324883', '/2745158810', '/2824454510', '/3100400357', '/3490961433', '/52123371', '/239283371', '/248632201', '/401732850', '/403101636', '/492358329', '/573634326']"
2021,12,30,3,16,来自 HUAWEI Mate 40 (4G)                                         /1936588711/709019876/786904676/1621784279/1638081771/1752339637/2745158810/3100400357/3490961433/52123371/248632201/321858632/403101636/485119095/573634326/769557461/770605743/791491858/793113459/835061535,"['/1936588711', '/709019876', '/786904676', '/1621784279', '/1638081771', '/1752339637', '/2745158810', '/3100400357', '/3490961433', '/52123371', '/248632201', '/321858632', '/403101636', '/485119095', '/573634326', '/769557461', '/770605743', '/791491858', '/793113459', '/835061535']"
2021,11,17,2,0,是盼望了很久的十八岁呀/1936588711/709019876/770500719/786904676/1192072046/1483500644/1621784279/1638081771/1752339637/1941324883/1977935439/2286551973/2664015850/2824454510/3100400357/3490961433/11441383/52123371/166463943/239283371,"['/1936588711', '/709019876', '/770500719', '/786904676', '/1192072046', '/1483500644', '/1621784279', '/1638081771', '/1752339637', '/1941324883', '/1977935439', '/2286551973', '/2664015850', '/2824454510', '/3100400357', '/3490961433', '/11441383', '/52123371', '/166463943', '/239283371']"
2021,11,8,0,18,愿我如星/1936588711/709019876/1621784279/1752339637/1941324883/2745158810/3100400357/3490961433/166463943/239283371/248632201/377848446/403101636/492427290/527373112/573634326/776761665/850208278/875984265/903561126,"['/1936588711', '/709019876', '/1621784279', '/1752339637', '/1941324883', '/2745158810', '/3100400357', '/3490961433', '/166463943', '/239283371', '/248632201', '/377848446', '/403101636', '/492427290', '/527373112', '/573634326', '/776761665', '/850208278', '/875984265', '/903561126']"
2021,11,3,2,11,小K订婚了呜呜呜呜我爱了这么久的女人是别人的了/1638081771/1752339637/2314731159/2745158810/3100400357/3490961433/7493766/52123371/321858632/403101636/527373112/770605743/776761665/850208278/903561126/969860725/978274966/1010374076/1065443735/1076846160,"['/1638081771', '/1752339637', '/2314731159', '/2745158810', '/3100400357', '/3490961433', '/7493766', '/52123371', '/321858632', '/403101636', '/527373112', '/770605743', '/776761665', '/850208278', '/903561126', '/969860725', '/978274966', '/1010374076', '/1065443735', '/1076846160']"
2021,10,21,3,21,不速来客 太好看了救命年度最佳国产片之一演员演技超棒!!!叙事更是绝了!!!都给我去看！！绝对不虚此行/1936588711/770500719/1638081771/1752339637/2745158810/3100400357/3490961433/52123371/248632201/398296098/492427290/573634326/642723479/770605743/850208278/931784219/969860725/978274966/1076846160/1124347358,"['/1936588711', '/770500719', '/1638081771', '/1752339637', '/2745158810', '/3100400357', '/3490961433', '/52123371', '/248632201', '/398296098', '/492427290', '/573634326', '/642723479', '/770605743', '/850208278', '/931784219', '/969860725', '/978274966', '/1076846160', '/1124347358']"
2021,10,16,5,12,：救命，我的室友好像有bing!!!!!                  来自 HUAWEI Mate 40 (4G)                                         /709019876/1621784279/1638081771/3100400357/2810029302,"['/709019876', '/1621784279', '/1638081771', '/3100400357', '/2810029302']"
2021,10,6,2,0,祝我的宝十九岁生日快乐呀那天和你在电梯上的时候闲来无事算了一下，我们已经认识十四年了诶。每次想到这里都会在心里感叹一下，哇我真的是看着你长大的！还记得你在幼儿园穿着那条金色裙子跳美人鱼哈哈哈哈哈，一转眼已经是大学生了。 展开全文/1936588711/1752339637/2745158810/3100400357/3490961433/52123371/179529248/248632201/377848446/398296098/401732850/492358329/527373112/573634326/741914396/770605743/776761665/863817090/875984265/931784219,"['/1936588711', '/1752339637', '/2745158810', '/3100400357', '/3490961433', '/52123371', '/179529248', '/248632201', '/377848446', '/398296098', '/401732850', '/492358329', '/527373112', '/573634326', '/741914396', '/770605743', '/776761665', '/863817090', '/875984265', '/931784219']"
2021,9,28,1,9,生病+熬夜+早起=感觉自己命不久矣/1936588711/770500719/1324570630/1638081771/1752339637/1941324883/2824454510/3100400357/492358329/492427290/573634326/624200780/770605743/776761665/793113459/875984265/931784219/978274966/1010374076/1065443735,"['/1936588711', '/770500719', '/1324570630', '/1638081771', '/1752339637', '/1941324883', '/2824454510', '/3100400357', '/492358329', '/492427290', '/573634326', '/624200780', '/770605743', '/776761665', '/793113459', '/875984265', '/931784219', '/978274966', '/1010374076', '/1065443735']"
2021,9,24,4,16,求雨成功！！！/1324570630/1621784279/1638081771/1752339637/1941324883/2745158810/3100400357/3490961433/398296098/492427290/527373112/573634326/770605743/793113459/850208278/863817090/978274966/1016410131/1031356708/1076846160,"['/1324570630', '/1621784279', '/1638081771', '/1752339637', '/1941324883', '/2745158810', '/3100400357', '/3490961433', '/398296098', '/492427290', '/527373112', '/573634326', '/770605743', '/793113459', '/850208278', '/863817090', '/978274966', '/1016410131', '/1031356708', '/1076846160']"
2021,9,14,1,13,来卷啊/1936588711/786904676/1621784279/1638081771/1752339637/1941324883/3100400357/3490961433/2810029302,"['/1936588711', '/786904676', '/1621784279', '/1638081771', '/1752339637', '/1941324883', '/3100400357', '/3490961433', '/2810029302']"
2021,9,10,4,12,这就是法学生吗。拿行李箱去拖书。笑死/1936588711/1324570630/1483500644/1621784279/1638081771/1752339637/1941324883/2286551973/2745158810/3100400357/3490961433/52123371/306261832/398296098/401732850/492427290/573634326/770605743/776761665/793113459,"['/1936588711', '/1324570630', '/1483500644', '/1621784279', '/1638081771', '/1752339637', '/1941324883', '/2286551973', '/2745158810', '/3100400357', '/3490961433', '/52123371', '/306261832', '/398296098', '/401732850', '/492427290', '/573634326', '/770605743', '/776761665', '/793113459']"
2021,9,6,0,19,被室友骑电动车带着飞速穿过校园真的太快乐了！开发了新的交通工具✓/1936588711/1324570630/1483500644/1621784279/1638081771/1752339637/1941324883/3100400357/3490961433/52123371/573634326/770605743/776761665/793113459/850208278/978274966/1041747729/1065443735/1076846160/1124347358,"['/1936588711', '/1324570630', '/1483500644', '/1621784279', '/1638081771', '/1752339637', '/1941324883', '/3100400357', '/3490961433', '/52123371', '/573634326', '/770605743', '/776761665', '/793113459', '/850208278', '/978274966', '/1041747729', '/1065443735', '/1076846160', '/1124347358']"
2021,8,26,3,15,恐怖密室就这？？？？&今日份小甜点自助餐光盘行动@罗言欣 &夹娃娃yyds 鬼灭yyds&某人从成都带回来的伴手礼/1936588711/770500719/1621784279/1638081771/1941324883/2745158810/2824454510/3100400357/3490961433/52123371/306261832/573634326/737662575/741914396/770605743/776761665/793113459/850208278/931784219/978274966,"['/1936588711', '/770500719', '/1621784279', '/1638081771', '/1941324883', '/2745158810', '/2824454510', '/3100400357', '/3490961433', '/52123371', '/306261832', '/573634326', '/737662575', '/741914396', '/770605743', '/776761665', '/793113459', '/850208278', '/931784219', '/978274966']"
2021,7,28,2,10,成都去不了，改成长沙长沙也去不了，球球新冠滚出中国/1936588711/1483500644/1621784279/1638081771/1941324883/2314731159/2745158810/2824454510/2995648472/3100400357/3490961433/52123371/377848446/492427290/741914396/850208278/931784219/969860725/1010374076/1076846160,"['/1936588711', '/1483500644', '/1621784279', '/1638081771', '/1941324883', '/2314731159', '/2745158810', '/2824454510', '/2995648472', '/3100400357', '/3490961433', '/52123371', '/377848446', '/492427290', '/741914396', '/850208278', '/931784219', '/969860725', '/1010374076', '/1076846160']"
2021,7,24,5,21,九点的十一中/1936588711/770500719/786904676/1324570630/1621784279/1638081771/1941324883/2286551973/2314731159/3100400357/3416631709/11441383/52123371/239786281/492358329/492427290/527373112/741914396/776761665/850208278,"['/1936588711', '/770500719', '/786904676', '/1324570630', '/1621784279', '/1638081771', '/1941324883', '/2286551973', '/2314731159', '/3100400357', '/3416631709', '/11441383', '/52123371', '/239786281', '/492358329', '/492427290', '/527373112', '/741914396', '/776761665', '/850208278']"
2021,7,9,4,11,不要靠近男人，会变得不幸 单身yyds！/1936588711/1621784279/1638081771/2286551973/2314731159/2745158810/3490961433/52123371/239786281/377848446/527373112/573634326/642723479/750254750/875984265/969860725/1010374076/1041747729/1067233705/1076846160,"['/1936588711', '/1621784279', '/1638081771', '/2286551973', '/2314731159', '/2745158810', '/3490961433', '/52123371', '/239786281', '/377848446', '/527373112', '/573634326', '/642723479', '/750254750', '/875984265', '/969860725', '/1010374076', '/1041747729', '/1067233705', '/1076846160']"
2021,7,2,4,19,朋友们，我的记性真的好差要是我有欠啥钱或者欠顿饭什么的，一定要记得提醒一下我。。我是真的忘了orz真不是故意的/1936588711/1638081771/1752339637/1941324883/2314731159/2745158810/3100400357/3490961433/741914396/750254750/776761665/850208278/875984265/931784219/969860725/978274966/1010374076/1076846160/1148453749/1176072757,"['/1936588711', '/1638081771', '/1752339637', '/1941324883', '/2314731159', '/2745158810', '/3100400357', '/3490961433', '/741914396', '/750254750', '/776761665', '/850208278', '/875984265', '/931784219', '/969860725', '/978274966', '/1010374076', '/1076846160', '/1148453749', '/1176072757']"
2021,6,21,0,11,救命。刚刚翻旧手机听了一遍和以前初中朋友的电话录音。我以前说话怎么这么sb。感谢当时的朋友居然没有捶死我我好想穿越回去给当时的自己来一拳。救命/1936588711/1483500644/1752339637/1941324883/2314731159/2745158810/3100400357/239283371/492427290/741914396/863817090/969860725/1010374076/1076846160/1078542507/1124347358/1148453749/1176072757/1216090432/1326365725,"['/1936588711', '/1483500644', '/1752339637', '/1941324883', '/2314731159', '/2745158810', '/3100400357', '/239283371', '/492427290', '/741914396', '/863817090', '/969860725', '/1010374076', '/1076846160', '/1078542507', '/1124347358', '/1148453749', '/1176072757', '/1216090432', '/1326365725']"
2021,6,13,6,18,网易云热评墙 ：确实                  来自 HUAWEI Mate 40 (5G)                                         /2314731159/3100400357/3490961433,"['/2314731159', '/3100400357', '/3490961433']"
2021,6,11,4,14,我要是你的话我就感觉假期无聊了（？）/1936588711/2745158810,"['/1936588711', '/2745158810']"
2021,6,10,3,22,美得我直接跪下呜呜呜我宣布这就是我的心选美女了/1936588711/1638081771/1752339637/1941324883/2314731159/2745158810/3490961433/492427290/527373112/573634326/850208278/863817090/875984265/931784219/969860725/978274966/1010374076/1076846160/1078542507/1176072757,"['/1936588711', '/1638081771', '/1752339637', '/1941324883', '/2314731159', '/2745158810', '/3490961433', '/492427290', '/527373112', '/573634326', '/850208278', '/863817090', '/875984265', '/931784219', '/969860725', '/978274966', '/1010374076', '/1076846160', '/1078542507', '/1176072757']"
2021,6,10,3,13,好讨厌看见我消息还故意不回的人啊好讨厌好讨厌好讨厌好讨厌啊一次两次就算了，总是这样的话麻烦咱俩还是互相拉黑吧，免得跟你聊个天还给爷整烦了/1936588711/770500719/1483500644/1589785140/1638081771/3100400357/527373112/642723479/850208278/863817090/875984265/978274966/1010374076/1076846160/1124347358/1148453749/1176072757/1326365725/1416930186/1429500144,"['/1936588711', '/770500719', '/1483500644', '/1589785140', '/1638081771', '/3100400357', '/527373112', '/642723479', '/850208278', '/863817090', '/875984265', '/978274966', '/1010374076', '/1076846160', '/1124347358', '/1148453749', '/1176072757', '/1326365725', '/1416930186', '/1429500144']"
2021,6,9,2,21,好的就这么干/1936588711/770500719/1483500644/1621784279/1752339637/2314731159/2745158810/3100400357/3490961433/239283371/306261832/485119095/527373112/573634326/642723479/741914396/776761665/850208278/863817090/969860725,"['/1936588711', '/770500719', '/1483500644', '/1621784279', '/1752339637', '/2314731159', '/2745158810', '/3100400357', '/3490961433', '/239283371', '/306261832', '/485119095', '/527373112', '/573634326', '/642723479', '/741914396', '/776761665', '/850208278', '/863817090', '/969860725']"
2021,4,28,2,7,成年快乐，高考加油。/709019876/1621784279/1638081771/1752339637/2314731159/2824454510/3100400357/3490961433/492427290/527373112/573634326/741914396/843415976/875984265/1076846160/1124347358/1141126908/1176072757/1213002770,"['/709019876', '/1621784279', '/1638081771', '/1752339637', '/2314731159', '/2824454510', '/3100400357', '/3490961433', '/492427290', '/527373112', '/573634326', '/741914396', '/843415976', '/875984265', '/1076846160', '/1124347358', '/1141126908', '/1176072757', '/1213002770']"
