year,month,day,time,saying
2022,3,6,16,谢谢猫猫
2022,1,22,22,谢谢代代@醉倾城烟  拯救emo梁梁
2022,1,17,19,@一条腿毛尤物  就是说为了你提前换了个新发色然后去你家躺了一下午看帅哥并接了5/20的花花回来
2022,1,10,22,南宁
2022,1,7,20,p1周导爱心 A D钙p2帆帆限定四季春C语言冲冲冲
2022,1,3,18,是谁得到了独一无二的快乐
2022,1,3,10,？？？bot ：
2022,1,1,17,新的一年，新的摆烂
2021,12,31,19,芜湖！
2021,12,29,16,我的心情 be like
2021,12,28,8,冲冲冲
2021,12,27,22,感谢来自小灵同学的投喂@建筑2101陈一灵
2021,12,25,9,让我看看有谁圣诞节不能和别人过
2021,12,24,22,真的好喜欢野鸡岭
2021,12,24,21,p1降温穿裙子考华尔兹的倔强p2妈妈送给我的花加上周导借给我的花瓶融合毫无技巧的插花手法，复杂的食材，简单的工艺p3抱着逛超市送的苹果看迅姐姐在线直播数学网课
2021,12,21,21,祝小李同学生日快乐@Li-xh 谢谢投喂谢谢投喂
2021,12,21,13,
2021,12,19,20,是哪个人脑子有毛病土木大类，我不说
2021,12,19,15,
2021,12,19,14,万能的列表帮我整一个！
2021,12,19,14,
2021,12,18,12,DNA动了，马上抽我
2021,12,16,18,哪个猛男不心动呢
2021,12,16,9,是谁今早丢了手机，我不说
2021,12,15,21,就是说别人家的后视镜照什么都好好看啊
2021,12,13,16,
2021,12,12,18,
2021,12,10,17,？？？bot ：被指到的人60秒速转不挂科
2021,12,9,17,
2021,11,24,13,
2021,11,21,12,会议室干饭人
2021,11,14,8,
2021,11,13,14,
2021,11,11,21,希望自己天天开心@一条腿毛尤物
2021,11,10,22,
2021,11,9,19,
2021,11,9,7,是谁悲惨的在教学楼走廊吃早餐，我不说
2021,11,4,7,
2021,10,31,9,
2021,10,28,13,
2021,10,23,15,武汉市武汉理工大学南湖(新校区)体育场
2021,10,23,7,武汉市武汉理工大学体育中心
2021,10,20,23,这就是啦啦队吗
2021,10,8,23,
2021,10,7,8,
2021,10,5,0,长沙市岳麓区
2021,10,2,17,柳州市融水苗族自治县
2021,9,29,8,来捞一捞还有没有原说说评论蹲一个精美礼品
2021,9,28,18,救救孩子原说说点赞+评论吧
2021,9,23,21,换了个发型•2021限定
2021,9,11,17,笑死根本没学上
2021,8,29,0,
2021,8,5,22,@夜雨声烦烦烦烦烦☆  一起过生日快乐
2021,7,31,14,为什么一星期内要做两次鼻拭子，为什么给我做第一次鼻拭子的护士姐姐手这么辣
2021,7,8,23,
2021,7,8,22,仿佛回到了开学坐凌晨的航班上学
2021,6,23,12,我永远喜欢nnez的阳光公寓
2021,6,11,13,@武汉理工大学表白墙
2021,6,6,18,人家都是去山顶就我掉进bug里
2021,6,3,9,
2021,6,1,16,我来带你了@啊那
2021,5,23,16,不行了 救救 有声音了
2021,5,22,20,
2021,5,21,13,给老子天天开心@啊那
2021,5,21,12,现在 立刻 马上@一条腿毛尤物
2021,5,13,16,
2021,5,4,22,我什么都不知道因为我只是一只小白兔
2021,5,2,5,天亮的好早
2021,4,28,13,
