year,month,day,time,saying
2022,4,25,12,减重阶段性目标达成，本身预计2个月的，没想到提前完成，让我们相互监督，一起期待夏天吧
2022,4,5,17,关于我弟弟女朋友上门，而我只配做个厨子这件事（PS：最后那个冰墩墩，是做一桌半的菜，我弟女朋友给的“酬劳”）
2022,2,3,22,终于清净了一天，新年每天晚上都是枕着我弟和他女朋友视频通话的声音入睡的，今天我弟去帮忙做手术去了
2022,1,7,15,免费！从武汉理工大学去天河机场
2021,12,28,18,虽然必然不可能，但还是心甘情愿（MianWeiQiNan）的转一下吧希望少挂一点就好
2021,12,28,18,欢迎21级的萌新们，积极参与哦，用VLOG的形式记录自己的寒假（TuiFei）的生活哦
2021,12,23,17,#在抖音，记录美好生活#【我眼中的TA（武理土建）】正在直播，来和我一起支持Ta吧。复制下方链接，打开【抖音】，直接观看直播！  网页链接 我们的新生才艺晚会即将开始没有办法到现场的同学们，老师们，亲友们，我们可以通个抖音直播观看哦
2021,12,23,10,土建学院2021级新生才艺晚会...       https://m.eqxiu.com/s/fsoZ4e3U?bt=yxy
2021,12,22,19,那么生气的我，准备好了一起可以说的狠话，可是为啥见到学生就是凶不起来，骂不出来呢？看着稚嫩的你们是真的不舍得，刀子心豆腐嘴的我啊，什么时候才能练就一张刀子嘴呢。
2021,12,18,15,为的不是奖品哦，是真的来宣传土建21新才的哟～让我们一起期待叭～～～
2021,11,16,11,土建篮球新生杯冠军期待下一个冠军哟～
2021,10,10,0,终于迎来了“我们的”新生们，“21级”冲呀～
